iter	RMSE
0	14.85978678
1	14.47778504
2	14.11908307
3	13.79821245
4	13.48519664
5	13.16041815
6	12.84237128
7	12.54689425
8	12.31099744
9	12.04091768
10	11.79320775
11	11.52157789
12	11.27184535
13	11.06169571
14	10.81727388
15	10.59467156
16	10.40227968
17	10.18043903
18	9.982575714
19	9.786808635
20	9.590505073
21	9.436843327
22	9.251707567
23	9.095056388
24	8.944480356
25	8.783203746
26	8.62324868
27	8.480703332
28	8.3442997
29	8.214619626
30	8.088814483
31	7.962868958
32	7.84726061
33	7.753189738
34	7.662289599
35	7.579133539
36	7.490327055
37	7.410742605
38	7.3146579
39	7.227269719
40	7.146360198
41	7.068194379
42	7.0031757
43	6.938163035
44	6.883683565
45	6.82591916
46	6.753784783
47	6.690125348
48	6.625259981
49	6.574120094
50	6.518098268
51	6.477379195
52	6.421290795
53	6.368787148
54	6.332705869
55	6.281149361
56	6.232997529
57	6.190923047
58	6.14981706
59	6.108956032
60	6.067879792
61	6.034549745
62	6.000729126
63	5.972577795
64	5.935900519
65	5.911641362
66	5.88650542
67	5.857566535
68	5.827469532
69	5.807569144
70	5.783410612
71	5.761322495
72	5.740933631
73	5.720460107
74	5.69924329
75	5.679802598
76	5.658833806
77	5.642974885
78	5.621483694
79	5.600517271
80	5.583019425
81	5.570295585
82	5.560722809
83	5.544011332
84	5.529464777
85	5.516450746
86	5.502617955
87	5.492080267
88	5.4734239
89	5.459893939
90	5.444551219
91	5.434677479
92	5.419674527
93	5.409049412
94	5.394244952
95	5.384817811
96	5.371556659
97	5.362560996
98	5.350245096
99	5.343072283
100	5.335571548
101	5.32687556
102	5.313070693
103	5.301413939
104	5.289413804
105	5.279385485
106	5.267937683
107	5.26079276
108	5.249518634
109	5.238899316
110	5.230062442
111	5.223273052
112	5.215748722
113	5.20942921
114	5.202120899
115	5.192980713
116	5.18214899
117	5.173932258
118	5.162496486
119	5.153209695
120	5.145197341
121	5.138903713
122	5.134884615
123	5.127918156
124	5.125738524
125	5.117052574
126	5.113460843
127	5.109380001
128	5.101272855
129	5.093702221
130	5.088827298
131	5.082977311
132	5.077753082
133	5.073989518
134	5.069045337
135	5.060899078
136	5.053507773
137	5.048176003
138	5.045268167
139	5.042009083
140	5.036163431
141	5.030936431
142	5.025977003
143	5.023704357
144	5.022742887
145	5.016263603
146	5.009732333
147	5.00394246
148	4.999287972
149	4.998492046
150	4.993706512
151	4.989664846
152	4.985896653
153	4.98240406
154	4.978250874
155	4.975846779
156	4.97184787
157	4.967362244
158	4.961500428
159	4.957514066
160	4.953710925
161	4.947157688
162	4.945606102
163	4.938745544
164	4.934119419
165	4.931442151
166	4.929012242
167	4.924675145
168	4.922393612
169	4.92191405
170	4.91838425
171	4.914606126
172	4.912802432
173	4.906593478
174	4.901362023
175	4.893505512
176	4.887476503
177	4.883978064
178	4.879405183
179	4.873875855
180	4.869136843
181	4.865426847
182	4.862198153
183	4.858447057
184	4.855361374
185	4.848394553
186	4.842793016
187	4.839891085
188	4.836706904
189	4.831219533
190	4.829425499
191	4.826348088
192	4.822780106
193	4.81755875
194	4.810712445
195	4.808995862
196	4.804974152
197	4.79993343
198	4.799043985
199	4.791917978
200	4.786502438
201	4.783705842
202	4.780749786
203	4.776639204
204	4.773947458
205	4.769188702
206	4.764090636
207	4.76175714
208	4.757553568
209	4.750223905
210	4.743960555
211	4.741677167
212	4.740295458
213	4.7358577
214	4.732591516
215	4.729497495
216	4.72741179
217	4.722133524
218	4.720089539
219	4.715846959
220	4.715747439
221	4.711942948
222	4.706469858
223	4.703542248
224	4.701675889
225	4.696254764
226	4.694663601
227	4.691328765
228	4.689172053
229	4.682694822
230	4.678708024
231	4.674903026
232	4.671879228
233	4.66953609
234	4.665041925
235	4.662180416
236	4.660286404
237	4.653979732
238	4.653194486
239	4.647106758
240	4.644835257
241	4.64301178
242	4.639285559
243	4.63652946
244	4.633093747
245	4.628165014
246	4.624148292
247	4.622106168
248	4.616662254
249	4.611400607
250	4.606106146
251	4.602906081
252	4.601465284
253	4.597705038
254	4.59587533
255	4.592846795
256	4.590298778
257	4.587664179
258	4.584484807
259	4.583917259
260	4.582981842
261	4.58214898
262	4.580904489
263	4.575677317
264	4.573421922
265	4.571473967
266	4.567000238
267	4.564458119
268	4.559480108
269	4.558677218
270	4.557859637
271	4.553508576
272	4.550294708
273	4.545364813
274	4.543128963
275	4.536920503
276	4.529943304
277	4.527814429
278	4.525865137
279	4.523380631
280	4.518755241
281	4.512331471
282	4.508615206
283	4.503058209
284	4.501947147
285	4.500818658
286	4.49973854
287	4.496833981
288	4.492263994
289	4.488186901
290	4.485881658
291	4.479152681
292	4.477026854
293	4.472948114
294	4.471698411
295	4.466653723
296	4.461883451
297	4.457112862
298	4.452363584
299	4.447389563
300	4.444589394
301	4.442912713
302	4.439953381
303	4.437338289
304	4.433278914
305	4.430745409
306	4.427039784
307	4.421232397
308	4.415817532
309	4.411942703
310	4.407276518
311	4.403915118
312	4.39827602
313	4.397301528
314	4.392946783
315	4.390860755
316	4.388692987
317	4.385521559
318	4.379735284
319	4.37849838
320	4.374107079
321	4.373406771
322	4.370596938
323	4.366199318
324	4.363565747
325	4.359507802
326	4.354828306
327	4.352653032
328	4.348510751
329	4.343844608
330	4.343457229
331	4.339604957
332	4.338104492
333	4.334494211
334	4.330809177
335	4.327054199
336	4.322498712
337	4.320508155
338	4.316008147
339	4.311243591
340	4.308907683
341	4.305190598
342	4.303257299
343	4.301373939
344	4.298235449
345	4.294367158
346	4.292479447
347	4.288230707
348	4.283831145
349	4.282015993
350	4.277860863
351	4.27119807
352	4.266948943
353	4.265764841
354	4.259473713
355	4.258671227
356	4.255822146
357	4.253382696
358	4.247333072
359	4.243793906
360	4.242973565
361	4.238062553
362	4.235813767
363	4.233573024
364	4.232533589
365	4.229275956
366	4.22511439
367	4.223631002
368	4.222859113
369	4.220418573
370	4.218549276
371	4.213003532
372	4.20786172
373	4.206019282
374	4.201910506
375	4.200057586
376	4.197741851
377	4.195834771
378	4.193939567
379	4.191354422
380	4.187657708
381	4.183561046
382	4.182303109
383	4.180012735
384	4.175646632
385	4.174169149
386	4.169283852
387	4.16859611
388	4.166449706
389	4.163718032
390	4.16018855
391	4.159187071
392	4.155262474
393	4.151640338
394	4.149202914
395	4.149059829
396	4.145034781
397	4.141677836
398	4.139605372
399	4.13837413
400	4.136585752
401	4.133694923
402	4.128709611
403	4.127242893
404	4.120050434
405	4.114916054
406	4.112375882
407	4.107703503
408	4.100194589
409	4.099408599
410	4.095901011
411	4.093298278
412	4.090389252
413	4.088523524
414	4.08531428
415	4.08371924
416	4.077590595
417	4.076293406
418	4.073654265
419	4.072028506
420	4.070930504
421	4.067193913
422	4.065204182
423	4.063443744
424	4.060467894
425	4.05749714
426	4.056261673
427	4.053880151
428	4.051854416
429	4.050033038
430	4.04776713
431	4.046078814
432	4.04376661
433	4.039593046
434	4.032124288
435	4.027966991
436	4.024661663
437	4.023106985
438	4.020320161
439	4.016504977
440	4.012387146
441	4.008826501
442	4.006874082
443	4.003607195
444	4.001577603
445	4.000172586
446	3.996794987
447	3.995116415
448	3.99121998
449	3.987816428
450	3.98481505
451	3.982081368
452	3.979102532
453	3.976064651
454	3.973638516
455	3.970052049
456	3.969572795
457	3.965369365
458	3.962177736
459	3.960331148
460	3.959959644
461	3.956142589
462	3.954035998
463	3.950316308
464	3.948957669
465	3.947404919
466	3.946507416
467	3.943794246
468	3.943063781
469	3.941397319
470	3.940207161
471	3.938283901
472	3.936681144
473	3.93419856
474	3.932825077
475	3.928655708
476	3.925286703
477	3.922570049
478	3.920358055
479	3.914896145
480	3.913882824
481	3.910264208
482	3.90619077
483	3.90325602
484	3.899112132
485	3.898031552
486	3.897494636
487	3.895367058
488	3.89367215
489	3.892298621
490	3.888831614
491	3.885155913
492	3.882811898
493	3.879179781
494	3.876370016
495	3.874609453
496	3.873525073
497	3.872852914
498	3.871033528
499	3.86822813
500	3.865748628
501	3.864590707
502	3.860695117
503	3.857507966
504	3.856056728
505	3.8541735
506	3.850879974
507	3.847671479
508	3.84716627
509	3.844326462
510	3.841068905
511	3.837682299
512	3.836840598
513	3.835780953
514	3.834506298
515	3.833618693
516	3.831097779
517	3.830241977
518	3.829325513
519	3.82716165
520	3.821504087
521	3.820533635
522	3.819641558
523	3.818942328
524	3.815560987
525	3.814347345
526	3.810991208
527	3.810420615
528	3.807432501
529	3.8029611
530	3.799146694
531	3.797668663
532	3.795535994
533	3.794305455
534	3.790386336
535	3.789313805
536	3.787181298
537	3.782366194
538	3.781379492
539	3.776600619
540	3.774466986
541	3.773604925
542	3.77089073
543	3.767417617
544	3.764774371
545	3.761156759
546	3.757055472
547	3.756269195
548	3.754600591
549	3.753185754
550	3.751969883
551	3.750343119
552	3.748487467
553	3.747820512
554	3.747373787
